,CaseID,Address,Street,Neighborhood,Point,point_geom
10150,16981669,"3600 16TH ST, SAN FRANCISCO, CA, 94114",16TH ST,Duboce Triangle,"(37.76429715, -122.43344475)",POINT (-122.433444752 37.764297149)
10151,16987867,Intersection of DIVISADERO ST and OAK ST,DIVISADERO ST,Buena Vista,"(37.77310744, -122.43747705)",POINT (-122.437477053 37.773107442)
10152,16992229,"3184 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",ALEMANY BLVD,Outer Mission,"(37.71025236, -122.45843655)",POINT (-122.458436552 37.710252356)
10153,16996706,"1415 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,Cathedral Hill,"(37.78882571, -122.42223824)",POINT (-122.422238237 37.788825714)
10154,16985535,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77097563, -122.40574511)",POINT (-122.405745107 37.770975629)
10155,16987070,"611 JONES ST, SAN FRANCISCO, CA, 94102",JONES ST,Lower Nob Hill,"(37.78707112, -122.41336719)",POINT (-122.413367188 37.78707112)
10157,16997104,"2200 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Lower Pacific Heights,"(37.78345983, -122.4395565)",POINT (-122.439556499 37.783459829)
10158,16983026,Intersection of BRYANT ST and MAIN ST,BRYANT ST,South Beach,"(37.7869334, -122.3887845)",POINT (-122.3887845 37.7869334)
10159,16990541,"80 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,South of Market,"(37.77682615, -122.40527196)",POINT (-122.405271956 37.776826153)
10160,16986953,Intersection of OCTAVIA ST and LILY ST,OCTAVIA ST,Lower Haight,"(37.77439445, -122.42416767)",POINT (-122.424167675 37.774394448)
10162,16989162,Intersection of HEMLOCK ST and LARKIN ST,HEMLOCK ST,Lower Nob Hill,"(37.78754245, -122.41842384)",POINT (-122.418423835 37.78754245)
10163,16989129,"200 LARCH ST, SAN FRANCISCO, CA, 94102",LARCH ST,Cathedral Hill,"(37.78240363, -122.4209651)",POINT (-122.420965097 37.782403626)
