,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
16080,17395128,Intersection of DECKER ALY and LANGTON ST,DECKER ALY,South of Market,"(37.77614752, -122.40812799)",POINT (-122.408127986 37.776147518),South of Market,POINT (-122.40812799 37.77614752)
16081,17408618,"923 HARRISON ST, SAN FRANCISCO, CA, 94107",HARRISON ST,South of Market,"(37.77850668, -122.4021973)",POINT (-122.402197302 37.778506678),South of Market,POINT (-122.4021973 37.77850668)
16095,17390948,Intersection of PERRY ST and 4TH ST,PERRY ST,South of Market,"(37.78037211, -122.39882171)",POINT (-122.398821708 37.780372112),South of Market,POINT (-122.39882171 37.78037211)
16104,17395420,"414 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.78089484, -122.40488562)",POINT (-122.404885616 37.780894836),South of Market,POINT (-122.40488562 37.78089484)
16108,17394593,"642 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77766923, -122.41103086)",POINT (-122.411030858 37.77766923),South of Market,POINT (-122.41103086 37.77766923)
16111,17391970,"532 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77556365, -122.40214898)",POINT (-122.402148982 37.775563652),South of Market,POINT (-122.40214898 37.77556365)
16123,17391997,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882353, -122.40958314)",POINT (-122.409583144 37.778823532),South of Market,POINT (-122.40958314 37.77882353)
16139,17392044,"786 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77620559, -122.41382137)",POINT (-122.413821369 37.77620559),South of Market,POINT (-122.41382137 37.77620559)
16171,17396058,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77088189, -122.4056555)",POINT (-122.405655501 37.770881892),South of Market,POINT (-122.4056555 37.77088189)
16176,17392428,"1127 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77864164, -122.41151033)",POINT (-122.411510326 37.778641639),South of Market,POINT (-122.41151033 37.77864164)
16181,17395257,Intersection of 4TH ST and STILLMAN ST,4TH ST,South of Market,"(37.78015953, -122.39857708)",POINT (-122.398577076 37.780159527),South of Market,POINT (-122.39857708 37.78015953)
16183,17390906,"723 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77674646, -122.41314244)",POINT (-122.413142435 37.776746464),South of Market,POINT (-122.41314244 37.77674646)
16186,17394987,"470 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.7795553, -122.4056453)",POINT (-122.4056453 37.7795553),South of Market,POINT (-122.4056453 37.7795553)
16190,17398429,"121 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77882634, -122.4101936)",POINT (-122.410193597 37.778826341),South of Market,POINT (-122.4101936 37.77882634)
16193,17393899,Intersection of I-80 WESTBOUND and I-80 W ON RAMP,I-80 WESTBOUND,Showplace Square,"(37.77253556, -122.40674306)",POINT (-122.406743056 37.772535561),South of Market,POINT (-122.40674306 37.77253556)
16205,17398787,"911 BRYANT ST, SAN FRANCISCO, CA, 94103",BRYANT ST,Showplace Square,"(37.7741311, -122.4049625)",POINT (-122.4049625 37.7741311),South of Market,POINT (-122.4049625 37.7741311)
16225,17392918,"414 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.78085214, -122.40476146)",POINT (-122.404761461 37.780852135),South of Market,POINT (-122.40476146 37.78085214)
16229,17404410,"21 MERLIN ST, SAN FRANCISCO, CA, 94107",MERLIN ST,South of Market,"(37.77840826, -122.40210311)",POINT (-122.402103113 37.778408257),South of Market,POINT (-122.40210311 37.77840826)
16233,17399670,"930 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77415762, -122.41526985)",POINT (-122.415269849 37.774157616),South of Market,POINT (-122.41526985 37.77415762)
16236,17395309,"15 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77734522, -122.40968929)",POINT (-122.409689289 37.777345218),South of Market,POINT (-122.40968929 37.77734522)
16250,17417542,"457 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78113065, -122.40742565)",POINT (-122.407425645 37.781130652),South of Market,POINT (-122.40742565 37.78113065)
16251,17431044,"180 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.7799179, -122.4079379)",POINT (-122.4079379 37.7799179),South of Market,POINT (-122.4079379 37.7799179)
16255,17422578,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77819411, -122.41214011)",POINT (-122.41214011 37.778194107),South of Market,POINT (-122.41214011 37.77819411)
16265,17428458,"123 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.7761459, -122.4078356)",POINT (-122.4078356 37.7761459),South of Market,POINT (-122.4078356 37.7761459)
16291,17420332,"200 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77667934, -122.40458258)",POINT (-122.404582577 37.776679337),South of Market,POINT (-122.40458258 37.77667934)
16302,17424977,"664 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77772302, -122.41176366)",POINT (-122.411763656 37.777723023),South of Market,POINT (-122.41176366 37.77772302)
16305,17412888,"934 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77078344, -122.40630092)",POINT (-122.406300921 37.770783445),South of Market,POINT (-122.40630092 37.77078344)
16311,17415199,"1152 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77835502, -122.41212454)",POINT (-122.412124537 37.778355018),South of Market,POINT (-122.41212454 37.77835502)
16320,17434799,"634 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77782833, -122.41078)",POINT (-122.41078 37.777828333),South of Market,POINT (-122.41078 37.77782833)
16339,17456694,"850 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.772385, -122.404925)",POINT (-122.404925 37.772385),South of Market,POINT (-122.404925 37.772385)
16341,17437997,"457 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78119494, -122.40717318)",POINT (-122.407173179 37.781194944),South of Market,POINT (-122.40717318 37.78119494)
16346,17451292,"119 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77892234, -122.4103273)",POINT (-122.410327304 37.778922338),South of Market,POINT (-122.4103273 37.77892234)
16355,17455176,"414 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.78086726, -122.40482774)",POINT (-122.404827736 37.780867256),South of Market,POINT (-122.40482774 37.78086726)
16359,17458202,"50 MORRIS ST, SAN FRANCISCO, CA, 94107",MORRIS ST,South of Market,"(37.7770343, -122.4025645)",POINT (-122.4025645 37.7770343),South of Market,POINT (-122.4025645 37.7770343)
16376,17452428,"719 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7767306, -122.4128195)",POINT (-122.4128195 37.7767306),South of Market,POINT (-122.4128195 37.7767306)
16390,17474428,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77107724, -122.40568151)",POINT (-122.405681508 37.771077243),South of Market,POINT (-122.40568151 37.77107724)
16399,17471217,"992 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77993015, -122.40718357)",POINT (-122.407183573 37.779930147),South of Market,POINT (-122.40718357 37.77993015)
16406,17479926,"36 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77872367, -122.40712689)",POINT (-122.407126891 37.778723667),South of Market,POINT (-122.40712689 37.77872367)
16419,17486967,"66 MINT ST, SAN FRANCISCO, CA, 94103",MINT ST,South of Market,"(37.78237201, -122.40743268)",POINT (-122.407432683 37.782372009),South of Market,POINT (-122.40743268 37.78237201)
16434,17483633,"992 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78005176, -122.40709221)",POINT (-122.407092206 37.78005176),South of Market,POINT (-122.40709221 37.78005176)
16453,17501719,"1139 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.77962329, -122.41321418)",POINT (-122.413214184 37.779623286),South of Market,POINT (-122.41321418 37.77962329)
16454,17492196,Intersection of NATOMA ST and RUSS ST,NATOMA ST,South of Market,"(37.77932535, -122.40873782)",POINT (-122.408737823 37.779325346),South of Market,POINT (-122.40873782 37.77932535)
16493,17490009,"416 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78252146, -122.40797482)",POINT (-122.407974824 37.782521459),South of Market,POINT (-122.40797482 37.78252146)
16512,17503727,"701 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77680399, -122.41302749)",POINT (-122.413027493 37.776803993),South of Market,POINT (-122.41302749 37.77680399)
16526,17524098,"464 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78070928, -122.40695451)",POINT (-122.406954505 37.780709281),South of Market,POINT (-122.40695451 37.78070928)
16534,17523577,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77108555, -122.40570252)",POINT (-122.405702519 37.771085546),South of Market,POINT (-122.40570252 37.77108555)
16541,17524225,"745 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,South of Market,"(37.7739904, -122.40189706)",POINT (-122.401897061 37.773990403),South of Market,POINT (-122.40189706 37.7739904)
16543,17524597,"416 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78252782, -122.40796912)",POINT (-122.407969125 37.782527819),South of Market,POINT (-122.40796912 37.78252782)
16549,17532587,"535 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78076974, -122.40996479)",POINT (-122.409964794 37.780769744),South of Market,POINT (-122.40996479 37.78076974)
16553,17529348,"921 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78078633, -122.40509212)",POINT (-122.40509212 37.78078633),South of Market,POINT (-122.40509212 37.78078633)
16555,17520291,"416 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78236061, -122.40792856)",POINT (-122.407928556 37.782360615),South of Market,POINT (-122.40792856 37.78236061)
16559,17520357,"481 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78087033, -122.40750108)",POINT (-122.407501079 37.780870333),South of Market,POINT (-122.40750108 37.78087033)
16564,17531288,"1183 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.77898836, -122.41429143)",POINT (-122.414291427 37.778988359),South of Market,POINT (-122.41429143 37.77898836)
