,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
4370,16901983,"820 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7837745, -122.4054919)",POINT (-122.4054919 37.7837745),South of Market,POINT (-122.4054919 37.7837745)
4375,16892756,"131 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.7785957, -122.4076732)",POINT (-122.4076732 37.7785957),South of Market,POINT (-122.4076732 37.7785957)
4383,16899735,"812 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7841807, -122.4043951)",POINT (-122.4043951 37.7841807),South of Market,POINT (-122.4043951 37.7841807)
4384,16901606,Intersection of 4TH ST and MISSION ST,4TH ST,South of Market,"(37.784529, -122.4043416)",POINT (-122.4043416 37.784529),South of Market,POINT (-122.4043416 37.784529)
4385,16901988,"820 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78376077, -122.40548339)",POINT (-122.40548339 37.78376077),South of Market,POINT (-122.40548339 37.78376077)
4390,16899142,"868 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7833066, -122.4057716)",POINT (-122.4057716 37.7833066),South of Market,POINT (-122.4057716 37.7833066)
4391,16893991,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882486, -122.40956504)",POINT (-122.409565039 37.778824857),South of Market,POINT (-122.40956504 37.77882486)
4392,16896429,Intersection of 6TH ST and MISSION ST,6TH ST,South of Market,"(37.7809785, -122.4087239)",POINT (-122.4087239 37.7809785),South of Market,POINT (-122.4087239 37.7809785)
4394,16893221,"300 10TH ST, SAN FRANCISCO, CA, 94103 (Virtual)",10TH ST,South of Market,"(37.7728229, -122.4128498)",POINT (-122.4128498 37.7728229),South of Market,POINT (-122.4128498 37.7728229)
4397,16898964,"998 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78105079, -122.40869466)",POINT (-122.408694662 37.78105079),South of Market,POINT (-122.40869466 37.78105079)
4398,16889021,Intersection of SAN BRUNO AVE and DIVISION ST,SAN BRUNO AVE,Showplace Square,"(37.76973849, -122.405784)",POINT (-122.405783999 37.769738486),South of Market,POINT (-122.405784 37.76973849)
4402,16895862,"175 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.7754423, -122.4070966)",POINT (-122.4070966 37.7754423),South of Market,POINT (-122.4070966 37.7754423)
4411,16902780,Intersection of MISSION ST and JESSIE WEST ST,MISSION ST,South of Market,"(37.783037, -122.4061718)",POINT (-122.4061718 37.783037),South of Market,POINT (-122.4061718 37.783037)
4430,16897410,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.7706152, -122.40618231)",POINT (-122.406182307 37.770615195),South of Market,POINT (-122.40618231 37.7706152)
4432,16902769,"820 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7836789, -122.4055949)",POINT (-122.4055949 37.7836789),South of Market,POINT (-122.4055949 37.7836789)
4441,16897999,"171 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77557451, -122.40716143)",POINT (-122.407161428 37.775574507),South of Market,POINT (-122.40716143 37.77557451)
4443,16896578,Intersection of 6TH ST and MISSION ST,6TH ST,South of Market,"(37.7809785, -122.4087239)",POINT (-122.4087239 37.7809785),South of Market,POINT (-122.4087239 37.7809785)
4445,16899151,"865 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78322297, -122.40555997)",POINT (-122.40555997 37.78322297),South of Market,POINT (-122.40555997 37.78322297)
4458,16897941,Intersection of GORDON ST and END (000 BLOCK OF),GORDON ST,South of Market,"(37.77341009, -122.4104222)",POINT (-122.410422197 37.773410086),South of Market,POINT (-122.4104222 37.77341009)
4468,16894739,"320 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.7723689, -122.4126145)",POINT (-122.4126145 37.7723689),South of Market,POINT (-122.4126145 37.7723689)
4472,16893631,"1009 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77623771, -122.40524785)",POINT (-122.405247853 37.776237714),South of Market,POINT (-122.40524785 37.77623771)
4476,16884912,"477 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78049802, -122.40723453)",POINT (-122.407234535 37.780498023),South of Market,POINT (-122.40723453 37.78049802)
4482,16902347,"475 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.7800084, -122.39844926)",POINT (-122.398449256 37.780008404),South of Market,POINT (-122.39844926 37.7800084)
4485,16885459,Intersection of MINNA ST and JULIA ST,MINNA ST,South of Market,"(37.77759614, -122.41198722)",POINT (-122.411987215 37.777596137),South of Market,POINT (-122.41198722 37.77759614)
4491,16888658,"166 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77528973, -122.40705684)",POINT (-122.407056838 37.775289725),South of Market,POINT (-122.40705684 37.77528973)
4495,16898253,Intersection of SAN BRUNO AVE and DIVISION ST,SAN BRUNO AVE,Showplace Square,"(37.76972894, -122.40587117)",POINT (-122.405871171 37.769728945),South of Market,POINT (-122.40587117 37.76972894)
4496,16888933,"470 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.77948761, -122.40547165)",POINT (-122.405471653 37.779487609),South of Market,POINT (-122.40547165 37.77948761)
4505,16901974,"1122 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.7753453, -122.4069648)",POINT (-122.4069648 37.7753453),South of Market,POINT (-122.4069648 37.7753453)
4511,16898797,"112 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77895274, -122.41081759)",POINT (-122.410817594 37.778952743),South of Market,POINT (-122.41081759 37.77895274)
4513,16888930,"470 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.77947621, -122.40547936)",POINT (-122.405479364 37.779476215),South of Market,POINT (-122.40547936 37.77947621)
4519,16890610,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7806064, -122.40884956)",POINT (-122.40884956 37.780606404),South of Market,POINT (-122.40884956 37.7806064)
4521,16901677,"1009 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7794616, -122.4072793)",POINT (-122.4072793 37.7794616),South of Market,POINT (-122.4072793 37.7794616)
4523,16887696,"672 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77740976, -122.41232067)",POINT (-122.412320673 37.777409765),South of Market,POINT (-122.41232067 37.77740976)
4530,16886831,Intersection of HARRISON ST and 4TH ST,HARRISON ST,South of Market,"(37.7808484, -122.3995892)",POINT (-122.3995892 37.7808484),South of Market,POINT (-122.3995892 37.7808484)
4533,16889735,"50 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.7767884, -122.409318)",POINT (-122.409318 37.7767884),South of Market,POINT (-122.409318 37.7767884)
4536,16894525,Intersection of HARRISON ST and I-80 W ON RAMP,HARRISON ST,South of Market,"(37.78094289, -122.39963082)",POINT (-122.399630824 37.780942888),South of Market,POINT (-122.39963082 37.78094289)
4540,16893970,Intersection of LANGTON ST and HOWARD ST,LANGTON ST,South of Market,"(37.77745316, -122.409907)",POINT (-122.409906997 37.777453155),South of Market,POINT (-122.409907 37.77745316)
4542,16901125,"478 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.77983301, -122.4061742)",POINT (-122.406174202 37.779833015),South of Market,POINT (-122.4061742 37.77983301)
4546,16884994,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.7800383, -122.3985476)",POINT (-122.3985476 37.7800383),South of Market,POINT (-122.3985476 37.7800383)
4548,16887798,"112 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77897958, -122.41082813)",POINT (-122.410828126 37.778979577),South of Market,POINT (-122.41082813 37.77897958)
4554,16891302,"500 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77220573, -122.40680485)",POINT (-122.406804846 37.772205728),South of Market,POINT (-122.40680485 37.77220573)
4557,16895878,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78014114, -122.39874654)",POINT (-122.398746544 37.780141139),South of Market,POINT (-122.39874654 37.78014114)
4561,16892415,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77745658, -122.40445275)",POINT (-122.404452752 37.777456585),South of Market,POINT (-122.40445275 37.77745658)
4562,16897281,"166 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77526879, -122.40706421)",POINT (-122.407064214 37.77526879),South of Market,POINT (-122.40706421 37.77526879)
4577,16893538,"948 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7806804, -122.4062194)",POINT (-122.4062194 37.7806804),South of Market,POINT (-122.4062194 37.7806804)
4578,16892234,"743 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77653378, -122.41334655)",POINT (-122.413346552 37.776533776),South of Market,POINT (-122.41334655 37.77653378)
4579,16887475,"1 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.7770021, -122.4101366)",POINT (-122.4101366 37.7770021),South of Market,POINT (-122.4101366 37.7770021)
4583,16888053,"999 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.7700597, -122.4061984)",POINT (-122.4061984 37.7700597),South of Market,POINT (-122.4061984 37.7700597)
4587,16886424,Intersection of MINNA ST and JULIA ST,MINNA ST,South of Market,"(37.777621, -122.4118841)",POINT (-122.4118841 37.777621),South of Market,POINT (-122.4118841 37.777621)
4591,16900566,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77063587, -122.40611659)",POINT (-122.406116593 37.770635867),South of Market,POINT (-122.40611659 37.77063587)
4607,16900574,Intersection of SAN BRUNO AVE and DIVISION ST,SAN BRUNO AVE,Showplace Square,"(37.76972682, -122.40590067)",POINT (-122.405900675 37.769726825),South of Market,POINT (-122.40590067 37.76972682)
4611,16902573,"535 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78082878, -122.40988971)",POINT (-122.40988971 37.780828778),South of Market,POINT (-122.40988971 37.78082878)
4616,16901132,"448 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.78015886, -122.40570292)",POINT (-122.405702921 37.780158861),South of Market,POINT (-122.40570292 37.78015886)
4624,16901073,Intersection of JESSIE ST and 6TH ST,JESSIE ST,South of Market,"(37.78134546, -122.40923345)",POINT (-122.409233451 37.781345456),South of Market,POINT (-122.40923345 37.78134546)
4634,16895784,"1080 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.76959985, -122.40785076)",POINT (-122.407850764 37.769599851),South of Market,POINT (-122.40785076 37.76959985)
4639,16895969,"268 CLARA ST, SAN FRANCISCO, CA, 94107",CLARA ST,South of Market,"(37.77830455, -122.40392977)",POINT (-122.403929774 37.778304551),South of Market,POINT (-122.40392977 37.77830455)
4651,16896990,"517 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.7797747, -122.4080081)",POINT (-122.4080081 37.7797747),South of Market,POINT (-122.4080081 37.7797747)
4656,16902826,Intersection of CLARA ST and 6TH ST,CLARA ST,South of Market,"(37.77748121, -122.40452399)",POINT (-122.40452399 37.777481212),South of Market,POINT (-122.40452399 37.77748121)
4668,16902757,"300 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7840491, -122.4038065)",POINT (-122.4038065 37.7840491),South of Market,POINT (-122.4038065 37.7840491)
4672,16902547,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.7774478, -122.4044872)",POINT (-122.404487199 37.777447799),South of Market,POINT (-122.4044872 37.7774478)
4677,16890564,Intersection of HARRISON ST and I-80 W ON RAMP,HARRISON ST,South of Market,"(37.7808176, -122.39963215)",POINT (-122.39963215 37.7808176),South of Market,POINT (-122.39963215 37.7808176)
4679,16886141,"399 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.7812623, -122.3997825)",POINT (-122.3997825 37.7812623),South of Market,POINT (-122.3997825 37.7812623)
4687,16893610,"480 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78092208, -122.40772158)",POINT (-122.407721575 37.780922078),South of Market,POINT (-122.40772158 37.78092208)
4698,16892839,"131 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77864952, -122.4078008)",POINT (-122.407800797 37.778649519),South of Market,POINT (-122.4078008 37.77864952)
4703,16894606,"290 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.7728229, -122.4128498)",POINT (-122.4128498 37.7728229),South of Market,POINT (-122.4128498 37.7728229)
4726,16884348,"475 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78016269, -122.39836919)",POINT (-122.398369188 37.780162693),South of Market,POINT (-122.39836919 37.78016269)
4732,16897417,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.7728353, -122.40658246)",POINT (-122.406582459 37.772835297),South of Market,POINT (-122.40658246 37.7728353)
4736,16889471,"470 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,South of Market,"(37.7795553, -122.4056453)",POINT (-122.4056453 37.7795553),South of Market,POINT (-122.4056453 37.7795553)
4738,16890719,"119 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.7788927, -122.41030566)",POINT (-122.410305664 37.778892696),South of Market,POINT (-122.41030566 37.7788927)
4739,16896431,Intersection of 6TH ST and MISSION ST,6TH ST,South of Market,"(37.7809785, -122.4087239)",POINT (-122.4087239 37.7809785),South of Market,POINT (-122.4087239 37.7809785)
4741,16896507,"1147 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77706011, -122.41027756)",POINT (-122.410277558 37.777060109),South of Market,POINT (-122.41027756 37.77706011)
4743,16902771,"826 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7840094, -122.4051034)",POINT (-122.4051034 37.7840094),South of Market,POINT (-122.4051034 37.7840094)
4746,16910970,"580 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.7788, -122.40953)",POINT (-122.40953 37.7788),South of Market,POINT (-122.40953 37.7788)
4758,16904597,"1122 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77521051, -122.4068667)",POINT (-122.406866702 37.775210515),South of Market,POINT (-122.4068667 37.77521051)
4760,16903636,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77065124, -122.40611257)",POINT (-122.406112569 37.770651239),South of Market,POINT (-122.40611257 37.77065124)
4763,16921970,"1177 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77657895, -122.41086629)",POINT (-122.410866287 37.776578949),South of Market,POINT (-122.41086629 37.77657895)
4766,16907235,"1401 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77371853, -122.41429416)",POINT (-122.414294157 37.773718534),South of Market,POINT (-122.41429416 37.77371853)
4773,16903218,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77742569, -122.40442633)",POINT (-122.404426333 37.777425686),South of Market,POINT (-122.40442633 37.77742569)
4788,16913983,"1036 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78050488, -122.40961011)",POINT (-122.409610109 37.78050488),South of Market,POINT (-122.40961011 37.78050488)
4791,16920609,"851 FOLSOM ST, SAN FRANCISCO, CA, 94107",FOLSOM ST,South of Market,"(37.78115782, -122.40211291)",POINT (-122.402112908 37.781157819),South of Market,POINT (-122.40211291 37.78115782)
4802,16913713,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77726572, -122.40433204)",POINT (-122.404332039 37.777265721),South of Market,POINT (-122.40433204 37.77726572)
4812,16920548,Intersection of 7TH ST and NATOMA ST,7TH ST,South of Market,"(37.7784159, -122.4099707)",POINT (-122.4099707 37.7784159),South of Market,POINT (-122.4099707 37.7784159)
4822,16917517,"1035 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77891407, -122.40804042)",POINT (-122.408040418 37.778914067),South of Market,POINT (-122.40804042 37.77891407)
4826,16903896,"954 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78062094, -122.40628859)",POINT (-122.40628859 37.780620938),South of Market,POINT (-122.40628859 37.78062094)
4834,16908775,Intersection of 8TH ST and TEHAMA ST,8TH ST,South of Market,"(37.7758081, -122.4110903)",POINT (-122.4110903 37.7758081),South of Market,POINT (-122.4110903 37.7758081)
4838,16913012,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77059823, -122.40617426)",POINT (-122.40617426 37.770598234),South of Market,POINT (-122.40617426 37.77059823)
4845,16916956,"937 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78075398, -122.40575403)",POINT (-122.405754034 37.780753978),South of Market,POINT (-122.40575403 37.78075398)
4850,16904462,"735 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.776474, -122.413042)",POINT (-122.413042 37.776474),South of Market,POINT (-122.413042 37.776474)
4856,16911026,"531 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78099321, -122.40965077)",POINT (-122.409650771 37.780993206),South of Market,POINT (-122.40965077 37.78099321)
4857,16921850,"1 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.7770021, -122.4101366)",POINT (-122.4101366 37.7770021),South of Market,POINT (-122.4101366 37.7770021)
4864,16903365,"33 GORDON ST, SAN FRANCISCO, CA, 94103",GORDON ST,South of Market,"(37.77322838, -122.41026996)",POINT (-122.410269962 37.773228377),South of Market,POINT (-122.41026996 37.77322838)
4883,16911461,"1122 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.7753453, -122.4069648)",POINT (-122.4069648 37.7753453),South of Market,POINT (-122.4069648 37.7753453)
4888,16907288,"1339 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77567636, -122.41516471)",POINT (-122.415164706 37.775676357),South of Market,POINT (-122.41516471 37.77567636)
4890,16908823,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77065336, -122.40602674)",POINT (-122.406026739 37.770653359),South of Market,POINT (-122.40602674 37.77065336)
4894,16914898,"495 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78078432, -122.40797772)",POINT (-122.407977719 37.780784315),South of Market,POINT (-122.40797772 37.78078432)
4899,16905391,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77880799, -122.40805853)",POINT (-122.408058531 37.778807986),South of Market,POINT (-122.40805853 37.77880799)
4902,16914712,"10 WASHBURN ST, SAN FRANCISCO, CA, 94103",WASHBURN ST,South of Market,"(37.7755584, -122.4148259)",POINT (-122.4148259 37.7755584),South of Market,POINT (-122.4148259 37.7755584)
4904,16904723,"948 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78066013, -122.40619281)",POINT (-122.406192806 37.78066013),South of Market,POINT (-122.40619281 37.78066013)
4905,16915956,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78017775, -122.39875011)",POINT (-122.398750105 37.780177755),South of Market,POINT (-122.39875011 37.78017775)
4908,16905751,"67 5TH ST, SAN FRANCISCO, CA, 94103",5TH ST,South of Market,"(37.7831116, -122.4067743)",POINT (-122.4067743 37.7831116),South of Market,POINT (-122.4067743 37.7831116)
4912,16913143,Intersection of DIVISION ST and SAN BRUNO AVE,DIVISION ST,Showplace Square,"(37.76973955, -122.40585776)",POINT (-122.405857759 37.769739546),South of Market,POINT (-122.40585776 37.76973955)
4913,16910262,Intersection of FOLSOM ST and JUNIPER ST,FOLSOM ST,South of Market,"(37.77224498, -122.41345994)",POINT (-122.413459942 37.772244978),South of Market,POINT (-122.41345994 37.77224498)
4930,16908578,"21 MERLIN ST, SAN FRANCISCO, CA, 94107",MERLIN ST,South of Market,"(37.77831489, -122.40197205)",POINT (-122.401972051 37.778314892),South of Market,POINT (-122.40197205 37.77831489)
4939,16908834,"727 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77622186, -122.41264349)",POINT (-122.412643494 37.776221865),South of Market,POINT (-122.41264349 37.77622186)
4943,16908745,"246 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.7790498, -122.4041407)",POINT (-122.4041407 37.7790498),South of Market,POINT (-122.4041407 37.7790498)
4946,16907918,"729 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77612889, -122.41263158)",POINT (-122.412631581 37.776128887),South of Market,POINT (-122.41263158 37.77612889)
4955,16916633,"475 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.7798845, -122.39818343)",POINT (-122.398183432 37.779884498),South of Market,POINT (-122.39818343 37.7798845)
4974,16911258,"905 FOLSOM ST, SAN FRANCISCO, CA, 94107",FOLSOM ST,South of Market,"(37.78007673, -122.40343204)",POINT (-122.403432041 37.780076726),South of Market,POINT (-122.40343204 37.78007673)
4977,16915658,"1147 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7770687, -122.41034355)",POINT (-122.410343552 37.777068703),South of Market,POINT (-122.41034355 37.7770687)
4979,16914265,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77109047, -122.40562924)",POINT (-122.405629245 37.771090473),South of Market,POINT (-122.40562924 37.77109047)
4984,16907055,"865 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.7845984, -122.40713509)",POINT (-122.407135095 37.784598403),South of Market,POINT (-122.40713509 37.7845984)
4987,16904702,"727 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77622257, -122.41265274)",POINT (-122.412652736 37.776222574),South of Market,POINT (-122.41265274 37.77622257)
4988,16907296,"1337 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77576257, -122.41515922)",POINT (-122.415159224 37.775762566),South of Market,POINT (-122.41515922 37.77576257)
4992,16916224,"948 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7806804, -122.4062194)",POINT (-122.4062194 37.7806804),South of Market,POINT (-122.4062194 37.7806804)
4999,16909210,"1435 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.7722844, -122.4131683)",POINT (-122.4131683 37.7722844),South of Market,POINT (-122.4131683 37.7722844)
5007,16920689,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7789625, -122.4109849)",POINT (-122.4109849 37.7789625),South of Market,POINT (-122.4109849 37.7789625)
5018,16920012,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78019825, -122.39866087)",POINT (-122.398660866 37.780198248),South of Market,POINT (-122.39866087 37.78019825)
5025,16911503,"1044 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77896212, -122.40820583)",POINT (-122.40820583 37.778962125),South of Market,POINT (-122.40820583 37.77896212)
5029,16903498,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.7724487, -122.4064429)",POINT (-122.4064429 37.7724487),South of Market,POINT (-122.4064429 37.7724487)
5035,16908475,"390 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77745474, -122.40446489)",POINT (-122.40446489 37.777454739),South of Market,POINT (-122.40446489 37.77745474)
5047,16915175,"29 RIZAL ST, SAN FRANCISCO, CA, 94107",RIZAL ST,South of Market,"(37.7819583, -122.3992745)",POINT (-122.3992745 37.7819583),South of Market,POINT (-122.3992745 37.7819583)
5067,16916113,"10 HERON ST, SAN FRANCISCO, CA, 94103",HERON ST,South of Market,"(37.77485381, -122.40842707)",POINT (-122.408427066 37.774853813),South of Market,POINT (-122.40842707 37.77485381)
5076,16908585,"88 MERLIN ST, SAN FRANCISCO, CA, 94107",MERLIN ST,South of Market,"(37.77770952, -122.40132178)",POINT (-122.40132178 37.777709523),South of Market,POINT (-122.40132178 37.77770952)
5081,16913196,"1456 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77103579, -122.41217815)",POINT (-122.412178147 37.771035794),South of Market,POINT (-122.41217815 37.77103579)
5084,16911672,Intersection of STILLMAN ST and 4TH ST,STILLMAN ST,South of Market,"(37.78014419, -122.39859068)",POINT (-122.398590679 37.780144186),South of Market,POINT (-122.39859068 37.78014419)
5096,16908429,Intersection of DIVISION ST and SAN BRUNO AVE,DIVISION ST,Showplace Square,"(37.76976699, -122.40570972)",POINT (-122.405709723 37.769766988),South of Market,POINT (-122.40570972 37.76976699)
5102,16913402,Intersection of LUSK ST and TOWNSEND ST,LUSK ST,South of Market,"(37.77797071, -122.39388245)",POINT (-122.393882445 37.777970714),South of Market,POINT (-122.39388245 37.77797071)
5103,16911653,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77854078, -122.40988757)",POINT (-122.409887575 37.778540781),South of Market,POINT (-122.40988757 37.77854078)
5104,16911733,"1 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.7770021, -122.4101366)",POINT (-122.4101366 37.7770021),South of Market,POINT (-122.4101366 37.7770021)
5107,16914702,"7 GRACE ST, SAN FRANCISCO, CA, 94103",GRACE ST,South of Market,"(37.7753615, -122.4151017)",POINT (-122.4151017 37.7753615),South of Market,POINT (-122.4151017 37.7753615)
5117,16908488,"1147 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77706793, -122.41025251)",POINT (-122.410252507 37.777067932),South of Market,POINT (-122.41025251 37.77706793)
5126,16917812,"69 WASHBURN ST, SAN FRANCISCO, CA, 94103",WASHBURN ST,South of Market,"(37.77512227, -122.41407056)",POINT (-122.414070556 37.77512227),South of Market,POINT (-122.41407056 37.77512227)
5127,16917315,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77271895, -122.40665991)",POINT (-122.406659908 37.772718954),South of Market,POINT (-122.40665991 37.77271895)
5128,16908402,"1500 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77065942, -122.41249775)",POINT (-122.412497748 37.770659417),South of Market,POINT (-122.41249775 37.77065942)
5129,16913018,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77278892, -122.40657944)",POINT (-122.406579441 37.772788919),South of Market,POINT (-122.40657944 37.77278892)
